,country,cluster,percent
0,China,0,0.01818181818181818
1,Bangladesh,0,0.8962765957446809
2,Egypt,0,0.05357142857142857
3,Mexico,0,0.0
4,India,0,0.049079754601226995
5,Ghana,0,0.28688524590163933
6,Brazil,0,0.29411764705882354
7,Morocco,0,0.08333333333333333
8,Iraq,0,0.0
9,France,0,0.06741573033707865
10,Netherlands,0,0.058823529411764705
11,Hong Kong,0,0.24271844660194175
12,Uruguay,0,0.875
13,Serbia,0,0.7931034482758621
14,Argentina,0,0.0
15,Pakistan,0,0.125
16,Dominican Republic,0,0.0
17,Benin,0,0.0
18,Italy,0,0.21621621621621623
19,West Bank,0,0.8888888888888888
20,Russia,0,0.6818181818181818
21,Japan,0,0.782258064516129
22,Chile,0,0.35177865612648224
23,Peru,0,0.6382978723404256
24,Myanmar,0,0.0
25,South Korea,0,0.05263157894736842
26,Mali,0,0.0
27,Tunisia,0,0.2
28,Spain,0,0.09090909090909091
29,Belgium,0,0.0
30,Germany,0,0.1780821917808219
31,Taiwan,0,0.09523809523809523
32,Bahrain,0,0.6666666666666666
33,Cambodia,0,0.0
34,Ecuador,0,0.75
35,Canada,0,0.3333333333333333
36,Turkey,0,0.5238095238095238
37,Nigeria,0,1.0
38,Poland,0,0.34265734265734266
39,United Kingdom,0,0.25
40,Philippines,0,0.9583333333333334
41,Israel,0,0.25
42,Malta,0,0.0
43,Malaysia,0,0.0
44,Puerto Rico,0,0.125
45,Iran,0,0.0
46,Denmark,0,1.0
47,Venezuela,0,0.3333333333333333
48,Sierra Leone,0,0.2
49,Belize,0,0.5
50,Guatemala,0,0.0
51,Georgia,0,0.0
52,Saudi Arabia,0,0.40350877192982454
53,Jordan,0,0.43478260869565216
54,Lebanon,0,0.25
55,Zambia,0,1.0
56,Thailand,0,0.0
57,New Zealand,0,0.0
58,Timor-Leste,0,0.0
59,Czech Republic,0,0.7391304347826086
60,Jamaica,0,0.0
61,Colombia,0,0.0
62,Greece,0,0.6288659793814433
63,Guam,0,0.0
64,Kazakhstan,0,0.25
65,Sri Lanka,0,0.25
66,South Africa,0,0.0
67,Viet Nam,0,0.0
68,Sweden,0,0.0
69,Nepal,0,0.0
70,Finland,0,0.0
71,"Washington,Whatcom County",0,0.0
72,WA,0,0.0
73,Massachusetts,0,0.1111111111111111
74,"San Diego, California",0,0.0
75,None,0,0.08695652173913043
76,Minnesota,0,0.0
77,DC,0,0.5
78,"CA, Alameda County",0,0.0
79,"Washington,Yakima County",0,0.6666666666666666
80,ID,0,0.0
81,"Washington, Yakima County",0,0.25
82,NY,0,0.2
83,UT,0,0.0
84,MO,0,0.0
85,"Washington,King County",0,0.3333333333333333
86,Virginia,0,0.15384615384615385
87,"CA, Orange County",0,0.5
88,CA,0,0.07692307692307693
89,FL,0,0.058823529411764705
90,Florida,0,0.0
91,"Wisconsin, Dane County",0,0.0
92,MD,0,0.0
93,"CA, Santa Clara County",0,0.25
94,Utah,0,0.0
