Accession,Release_Date,Species,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Geo_Location,USA,Host,Isolation_Source,Collection_Date
NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,RefSeq,complete,,China,,Homo sapiens,,2019-12
MW595907,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29793,GenBank,complete,,Egypt,,Homo sapiens,oronasopharynx,2021-01-03
MW595908,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,Mexico,,Homo sapiens,oronasopharynx,2020-09-21
MW595909,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29866,GenBank,complete,,Mexico,,Homo sapiens,oronasopharynx,2020-08-18
MW595911,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-12-03
MW595912,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-11-10
MW595914,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-11-10
MW595915,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-11-10
MW595916,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-11-10
MW595918,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-11-24
MW595919,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Anand,,Homo sapiens,,2020-12-22
